"new.names";"old.names"
"LR42D_R1.fastq.gz";"LR107_R1.fastq.gz"
"LR42D_R2.fastq.gz";"LR107_R2.fastq.gz"
"LR45D_R1.fastq.gz";"LR109_R1.fastq.gz"
"LR45D_R2.fastq.gz";"LR109_R2.fastq.gz"
"LR47D_R1.fastq.gz";"LR110_R1.fastq.gz"
"LR47D_R2.fastq.gz";"LR110_R2.fastq.gz"
"LR48D_R1.fastq.gz";"LR111_R1.fastq.gz"
"LR48D_R2.fastq.gz";"LR111_R2.fastq.gz"
"LR48DSeq_R1.fastq.gz";"LR111d_R1.fastq.gz"
"LR48DSeq_R2.fastq.gz";"LR111d_R2.fastq.gz"
"RO216D_R1.fastq.gz";"LR112_R1.fastq.gz"
"RO216D_R2.fastq.gz";"LR112_R2.fastq.gz"
"RO219D_R1.fastq.gz";"LR113_R1.fastq.gz"
"RO219D_R2.fastq.gz";"LR113_R2.fastq.gz"
"LR113D_R1.fastq.gz";"LR113D_R1.fastq.gz"
"LR113D_R2.fastq.gz";"LR113D_R2.fastq.gz"
"LR113R_R1.fastq.gz";"LR113R_R1.fastq.gz"
"LR113R_R2.fastq.gz";"LR113R_R2.fastq.gz"
"RO220D_R1.fastq.gz";"LR114_R1.fastq.gz"
"RO220D_R2.fastq.gz";"LR114_R2.fastq.gz"
"RO221D_R1.fastq.gz";"LR115_R1.fastq.gz"
"RO221D_R2.fastq.gz";"LR115_R2.fastq.gz"
"RO222D_R1.fastq.gz";"LR116_R1.fastq.gz"
"RO222D_R2.fastq.gz";"LR116_R2.fastq.gz"
"LR116D_R1.fastq.gz";"LR116D_R1.fastq.gz"
"LR116D_R2.fastq.gz";"LR116D_R2.fastq.gz"
"LR116R_R1.fastq.gz";"LR116R_R1.fastq.gz"
"LR116R_R2.fastq.gz";"LR116R_R2.fastq.gz"
"RO223D_R1.fastq.gz";"LR117_R1.fastq.gz"
"RO223D_R2.fastq.gz";"LR117_R2.fastq.gz"
"RO226D_R1.fastq.gz";"LR118_R1.fastq.gz"
"RO226D_R2.fastq.gz";"LR118_R2.fastq.gz"
"RO228D_R1.fastq.gz";"LR119_R1.fastq.gz"
"RO228D_R2.fastq.gz";"LR119_R2.fastq.gz"
"RO229D_R1.fastq.gz";"LR120_R1.fastq.gz"
"RO229D_R2.fastq.gz";"LR120_R2.fastq.gz"
"LR120D_R1.fastq.gz";"LR120D_R1.fastq.gz"
"LR120D_R2.fastq.gz";"LR120D_R2.fastq.gz"
"LR120R_R1.fastq.gz";"LR120R_R1.fastq.gz"
"LR120R_R2.fastq.gz";"LR120R_R2.fastq.gz"
"T27D_R1.fastq.gz";"LR121_R1.fastq.gz"
"T27D_R2.fastq.gz";"LR121_R2.fastq.gz"
"LR121D_R1.fastq.gz";"LR121D_R1.fastq.gz"
"LR121D_R2.fastq.gz";"LR121D_R2.fastq.gz"
"LR121R_R1.fastq.gz";"LR121R_R1.fastq.gz"
"LR121R_R2.fastq.gz";"LR121R_R2.fastq.gz"
"T37D_R1.fastq.gz";"LR122_R1.fastq.gz"
"T37D_R2.fastq.gz";"LR122_R2.fastq.gz"
"LR122D_R1.fastq.gz";"LR122D_R1.fastq.gz"
"LR122D_R2.fastq.gz";"LR122D_R2.fastq.gz"
"LR122R_R1.fastq.gz";"LR122R_R1.fastq.gz"
"LR122R_R2.fastq.gz";"LR122R_R2.fastq.gz"
"T38D_R1.fastq.gz";"LR123_R1.fastq.gz"
"T38D_R2.fastq.gz";"LR123_R2.fastq.gz"
"LR123D_R1.fastq.gz";"LR123D_R1.fastq.gz"
"LR123D_R2.fastq.gz";"LR123D_R2.fastq.gz"
"LR123R_R1.fastq.gz";"LR123R_R1.fastq.gz"
"LR123R_R2.fastq.gz";"LR123R_R2.fastq.gz"
"PR13D_R1.fastq.gz";"LR124_R1.fastq.gz"
"PR13D_R2.fastq.gz";"LR124_R2.fastq.gz"
"PR15D_R1.fastq.gz";"LR125_R1.fastq.gz"
"PR15D_R2.fastq.gz";"LR125_R2.fastq.gz"
"LR125D_R1.fastq.gz";"LR125D_R1.fastq.gz"
"LR125D_R2.fastq.gz";"LR125D_R2.fastq.gz"
"LR125R_R1.fastq.gz";"LR125R_R1.fastq.gz"
"LR125R_R2.fastq.gz";"LR125R_R2.fastq.gz"
"PR17D_R1.fastq.gz";"LR126_R1.fastq.gz"
